"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT03701932","Mental Activity During (TMS) Therapy for Depression",,"Recruiting","No Results Available","Cognitive Impairment","Behavioral: TMS and Lumosity®cognitive retraining|Behavioral: TMS and non cognitive computer games","The University of Pennsylvania Computerized Neuropsychological Testing Battery (Penn CNP)|The Lumosity® Brain Performance Test (BPT)|Inventory of Depressive Symptoms- Self Report|Hamilton Depression Rating Scale 17 item","Augusta University|Lumos Labs, Inc.","All","18 Years and older   (Adult, Older Adult)","Not Applicable","25","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","663245","March 6, 2015","March 6, 2019","March 6, 2019","October 10, 2018","null","October 10, 2018","Augusta University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03701932"
2,"NCT03701061","Durability and Impact of the Seasonal Influenza Vaccine on H5 Induced B Cell Response","HIPCVAX-010S","Recruiting","No Results Available","Influenza A Subtype H5N1 Infection","Biological: Seasonal Influenza Vaccine","Number of participants with a four-fold increase in stem-specific antibody titers (H5, Hemagglutinin Antibody) against H5N1 at day 29 after vaccination with the seasonal influenza vaccine among all the participants in both arms|Number of solicited (AE's) grade 2 and above at day 8 after vaccination with the seasonal influenza vaccine among the participants in both arms|Number of unsolicited adverse events (AE's) grade 2 and above at day 29 after vaccination with the seasonal influenza vaccine among the participants in both arms|Number of serious adverse events at day 365 among the participants in both arms","Emory University|National Institute of Allergy and Infectious Diseases (NIAID)","All","Child, Adult, Older Adult","Phase 4","50","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","IRB00100804|U19AI090023","October 2018","May 30, 2019","May 30, 2020","October 9, 2018","null","October 9, 2018","The Hope Clinic of Emory University, Decatur, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03701061"
3,"NCT03686514","The Impact of Imprinting and Repeated Influenza Vaccination on Adaptive Immunity, Transcriptomics, and Metabolomics","FLU2","Not yet recruiting","No Results Available","Influenza","Biological: Seasonal influenza vaccine 2018-2019","The proportion of subjects achieving seroprotection (titer of ≥ 40) or seroconversion (four-fold rise in HAI post- compared to pre-vaccination, or a titer of ≥40 if the pre-vaccination titer was <10) against each strain|Geometric Mean Titers (GMTs) of serum HAI against each strain|The proportion of subjects achieving seroprotection (titer of ≥ 40) or seroconversion (four-fold rise in NAb post- compared to pre-vaccination, or a titer of ≥40 if the pre-vaccination titer was <10) against each strain|Geometric Mean Titers (GMTs) of serum NAb against each strain","Emory University","All","41 Years to 70 Years   (Adult, Older Adult)","Phase 1","20","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IRB00106407","October 2018","July 2019","July 2020","September 27, 2018","null","September 27, 2018","The Hope Clinic of the Emory Vaccine Center, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03686514"
4,"NCT03680144","Utility of Perfusion MRI to Detect Radiation Necrosis in Patients With Brain Metastases",,"Not yet recruiting","No Results Available","Invasive Malignant Neoplasm|Metastatic Malignant Neoplasm in the Brain","Procedure: Dynamic Susceptibility Contrast-MRI (DSC-MRI)|Procedure: Magnetic Resonance Imaging (MRI)","Change in dynamic susceptibility contrast (DSC)-magnetic resonance imaging (MRI) parameters: relative cerebral blood volume (rCBV)|Change in dynamic susceptibility contrast (DSC)-magnetic resonance imaging (MRI) parameters: relative peak height (rPH)|Change in dynamic susceptibility contrast (DSC)-magnetic resonance imaging (MRI) parameters: percentage of signal intensity recovery (PSR)|Change in dynamic susceptibility contrast (DSC)-magnetic resonance imaging (MRI) parameters: mean transit time (MTT)","Emory University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","45","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","IRB00102506|NCI-2018-01722|RAD4391-18","September 1, 2019","September 30, 2020","September 30, 2020","September 21, 2018","null","September 21, 2018","Emory University Hospital/Winship Cancer Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03680144"
5,"NCT03674489","Local and Widespread Hypoalgesic Effects of Neurodynamic Mobilization in Healthy Controls",,"Not yet recruiting","No Results Available","Pain|Pain, Neuropathic","Other: Neurodynamic Slider Mobilization|Other: Neurodynamic Tensioner Mobilization|Other: Sham Neurodynamic Mobilization","Pressure Pain Threshold (PPT)|Thermal Pain Threshold (TPT)|Thermal Pain Tolerance (TPTol)|Elbow Extension ROM Obtained on Neurodynamic Testing","Brenau University","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","1208684-5","October 2018","June 2019","June 2019","September 17, 2018","null","September 17, 2018","Brenau University, Gainesville, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03674489"
6,"NCT03673865","The Use of 3D Printing in Orbital Fractures",,"Not yet recruiting","No Results Available","Orbital Fractures","Device: office-based 3-dimensional printers (OB3DP)|Device: standard stock orbital plate","Change in the orbital volume of the injured orbit compared to the contralateral uninjured orbit as assessed by CT scan between the treatment and control groups|Number of subjects with reduction of orbital volume to less than 2 cm3 between the treatment and control groups|Number of subjects with a difference of more than 2 mm between the two orbits between the treatment and control groups|Number of subjects with infection between the treatment and control groups|Number of subjects with infraorbital nerve injury between the treatment and control groups|Number of subjects with Intraocular pressure (IOP) > 40 mmHg between the treatment and control groups|Mean operating time in minutes between the treatment and control groups|Mean length of stay in hospital measured in days between the treatment and control groups|Mean treatment amount in dollars between the treatment and control groups|Number of subjects that develop restricted extraocular motility that was not present before between the treatment and control groups|Number of subjects with inability to achieve the normal orbital contour between the treatment and control groups","Emory University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00103655","September 2018","September 2020","September 2020","September 17, 2018","null","September 17, 2018","Grady Memorial Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03673865"
7,"NCT03673501","A Study of DCC-2618 vs Sunitinib in Advanced GIST Patients After Treatment With Imatinib","intrigue","Not yet recruiting","No Results Available","Gastrointestinal Stromal Tumors","Drug: DCC-2618|Drug: Sunitinib","Progression free survival (PFS)|Objective response rate (ORR)|Overall Survival (OS)","Deciphera Pharmaceuticals LLC","All","18 Years and older   (Adult, Older Adult)","Phase 3","358","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DCC-2618-03-002","December 2018","June 2021","March 2022","September 17, 2018","null","September 17, 2018","Georgia Cancer Specialists, Sandy Springs, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03673501"
8,"NCT03665532","Youth Engagement Study: Intervention to Increase HIV Treatment Engagement and Adherence for Young People Living With HIV","YES","Recruiting","No Results Available","HIV/AIDS","Behavioral: Youth Engagement in Services","HIV suppression|Medication Adherence","University of Connecticut|Mercer University","All","16 Years to 35 Years   (Child, Adult)","Not Applicable","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","H16-130","July 1, 2017","June 30, 2020","June 30, 2021","September 11, 2018","null","September 11, 2018","Southeast HIV/AIDS Research & Evaluation Project, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03665532"
9,"NCT03664817","Social Capital and Engagement in Care Among Young Black Men Who Have Sex With Men Living With HIV",,"Recruiting","No Results Available","HIV Infections","Behavioral: social capital intervention|Behavioral: group-based health promotion intervention","Change in Modified Social Capital Scale (MSCS) between the social capital intervention group and group-based health promotion intervention|Change in viral load suppression measured as copies/ml at baseline, post-intervention 3 months and 9 months between the social capital intervention group and group-based health promotion intervention|Change in number of receiving two or more cluster of differentiation 4 (CD4) tests at baseline, post-intervention 3 months and 9 months between the social capital intervention group and group-based health promotion intervention|Number of HIV visits at baseline, post-intervention 3 months and 9 months between the social capital intervention group and group-based health promotion intervention|Change in subjects self report to question at baseline, post-intervention 3 months and 9 months between the social capital intervention group and group-based health promotion intervention|Number of viral load tests at post-intervention 3 months and 9 months between the social capital intervention group and group-based health promotion intervention","Emory University|Centers for Disease Control and Prevention","Male","18 Years to 29 Years   (Adult)","Not Applicable","120","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","IRB00088255","July 26, 2018","April 2020","April 2021","September 11, 2018","null","September 11, 2018","Emory University 1518 Clifton Rd, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03664817"
10,"NCT03650452","A Phase 2, Multicenter, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy, Safety, and Tolerability of TAK-935 (OV935) as an Adjunctive Therapy in Pediatric Patients With Developmental and/or Epileptic Encephalopathies","ELEKTRA","Recruiting","No Results Available","Epilepsy|Dravet Syndrome|Lennox-Gastaut Syndrome","Drug: TAK-935|Drug: Placebo","Percent change from baseline in frequency of all seizures (convulsive and drop) per 28 days in patients receiving TAK-935 (OV935) as compared to placebo during the Treatment Period|Percent change from baseline in all seizures (convulsive and drop) in patients receiving TAK-935 (OV935) as compared to placebo during Maintenance Period|Percent change from baseline in frequency of convulsive seizures in Dravet patients and drop seizures in LGS patients, respectively, receiving TAK-935 (OV935) as compared to placebo during Treatment Period|Proportion of patients receiving TAK-935 (OV935) as compared to placebo in the Dravet patients and LGS patients, respectively, considered treatment responders|Change in Clinician's and Caregiver's Clinical Global Impression of Severity and Change|Correlation of TAK-935 concentration and plasma 24S-hydroxycholesterol (24HC) levels","Takeda|Ovid Therapeutics","All","2 Years to 17 Years   (Child)","Phase 2","126","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","TAK-935-2002|U1111-1206-5522","August 8, 2018","March 21, 2021","April 21, 2021","August 28, 2018","null","September 26, 2018","Center for Rare Neurological Diseases, Norcross, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03650452"
11,"NCT03647930","The Effect of Arista on Post-Operative Bleeding and Wound Drainage Following Mastectomy",,"Completed","No Results Available","Seroma","Device: Microporous Polysaccharide Hemospheres (MPH)","Total Drain Days|Total Drain Output","Memorial Health University Medical Center","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","MHUMC 2012.05.05","May 15, 2012","March 6, 2015","March 6, 2015","August 27, 2018","null","August 27, 2018","Memorial Health University Medical Center, Savannah, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03647930"
12,"NCT03634579","MRI Guided Prostate Cancer Focal Laser Ablation",,"Recruiting","No Results Available","Prostate Cancer","Device: MRI Guided Focal Laser Interstitial Thermal Ablation","Number of recurrences of Prostate Cancer at the end of 1 year among the subjects treated with MRI Guided Focal Laser Interstitial Thermal Ablation|Percentage of grade 3 or higher complications as defined as National cancer institute's common toxicity criteria version 4 among the subjects treated with MRI Guided Focal Laser Interstitial Thermal Ablation|Change in erectile function|Change in urinary function|Number of recurrences of Prostate Cancer at the end of 2nd year among the subjects treated with MRI Guided Focal Laser Interstitial Thermal Ablation","Emory University","Male","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00094958","June 1, 2018","July 2020","July 2020","August 16, 2018","null","August 16, 2018","Emory University Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03634579"
13,"NCT03629145","Music Therapy With Intubated and Sedated Pediatric Patients",,"Recruiting","No Results Available","Respiratory Syncytial Virus Infections","Behavioral: Live Music Therapy|Behavioral: Recorded Music Therapy","Heart Rate|Respiratory Rate|Blood Pressure","Children's Healthcare of Atlanta","All","up to 2 Years   (Child)","Not Applicable","28","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","MUSIC02","January 16, 2018","May 1, 2019","August 1, 2019","August 14, 2018","null","August 14, 2018","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/45/NCT03629145/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/45/NCT03629145/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT03629145"
14,"NCT03628976","Noninvasive VNS for Neuromotor Adaptations",,"Not yet recruiting","No Results Available","Healthy Young Adults","Other: tVNS","Change in MEP amplitude","Georgia Institute of Technology|National Institute of Neurological Disorders and Stroke (NINDS)","All","18 Years to 39 Years   (Adult)","Not Applicable","24","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science","H18151|1R03NS106088-01A1","September 1, 2018","September 1, 2020","September 1, 2021","August 14, 2018","null","August 14, 2018","Human Neuromuscular Physiology Lab, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03628976"
15,"NCT03625011","Gabapentin Premedication to Reduce Postoperative Pain for Pediatric Tonsillectomy",,"Recruiting","No Results Available","Tonsillitis|Tonsillectomy","Drug: Gabapentin","Narcotic Consumption|First Analgesic Timing|Pain Scale Scores","Children's Healthcare of Atlanta","All","3 Years to 18 Years   (Child, Adult)","Phase 4","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Health Services Research","IRB 18-052","July 31, 2018","December 31, 2018","December 31, 2018","August 10, 2018","null","August 16, 2018","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/11/NCT03625011/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/11/NCT03625011/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT03625011"
16,"NCT03623256","Comparison of Intrathecal Versus Epidural Fentanyl on Fetal Bradycardia in Labor Combined Spinal Epidural Analgesia",,"Not yet recruiting","No Results Available","Labor Pain|Obstetric Pain","Drug: Spinal fentanyl|Drug: Spinal bupivacaine|Drug: Spinal Fentanyl and Bupivacaine|Drug: Epidural fentanyl /spinal bupivacaine","Fetal heart rate|Blood pressure|Dermatomal level|Maternal Pain level: visual analogue scale|Patient satisfaction level: Likert Scale|Uterine tone","Augusta University","Female","18 Years and older   (Adult, Older Adult)","Phase 4","558","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","1238162","October 1, 2018","October 1, 2021","October 31, 2021","August 9, 2018","null","August 9, 2018","Augusta University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03623256"
